Date,Open,High,Low,Close,Adjusted_close,Volume
2022-07-25,395.75,396.47,393.21,395.57,395.57,53631500
2022-07-26,393.84,394.06,389.95,390.89,390.89,52946400
2022-07-27,394.36,402.88,394.05,401.04,401.04,82342100
2022-07-28,401.89,406.8,398.15,406.07,406.07,73966600
2022-07-29,407.58,413.03,406.77,411.99,411.99,86921200
2022-08-01,409.15,413.41,408.4,410.77,410.77,69997500
2022-08-02,409.12,413,406.82,408.06,408.06,63435400
2022-08-03,410.3,415.68,410,414.45,414.45,67820600
2022-08-04,414.37,415.09,412.44,414.17,414.17,45656600
2022-08-05,409.66,414.15,409.6,413.47,413.47,56755600
2022-08-08,415.25,417.62,411.83,412.99,412.99,53886100
2022-08-09,412.22,412.75,410.22,411.35,411.35,44931800
2022-08-10,418.78,420.14,416.72,419.99,419.99,68665700
2022-08-11,422.99,424.95,419.21,419.99,419.99,59489700
2022-08-12,422.03,427.21,421.03,427.1,427.1,61644600
2022-08-15,424.77,429.41,424.71,428.86,428.86,54048300
2022-08-16,427.73,431.73,426.88,429.7,429.7,59289000
2022-08-17,425.91,429.5,424.54,426.65,426.65,63563400
2022-08-18,426.86,428.61,425.5,427.89,427.89,49023200
2022-08-19,424.98,425.26,421.22,422.14,422.14,67934700
2022-08-22,417.05,417.23,412.4,413.35,413.35,77577400
